"Agriculture Year",District,Crop,"Area Growth",Unit1,"Production Growth",Unit2,"Productivity Growth",Unit3
1976-77,Palakkad,Ginger,-45.17,Percent,-45.22,Percent,-0.06,Percent
1976-77,Palakkad,Jack,-25.48,Percent,,Percent,,Percent
1976-77,Palakkad,Mango,-6.98,Percent,,Percent,,Percent
1976-77,Palakkad,Paddy,-1.87,Percent,-13.83,Percent,,Percent
1976-77,Palakkad,Pepper,68.04,Percent,102.74,Percent,20.35,Percent
1976-77,Palakkad,Pineapple,-32.82,Percent,,Percent,,Percent
1976-77,Palakkad,Plantain,-19.44,Percent,-19.44,Percent,,Percent
1976-77,Palakkad,Rubber,13.4,Percent,12.28,Percent,-1,Percent
1976-77,Palakkad,Tapioca,-0.14,Percent,16.3,Percent,16.46,Percent
1976-77,Palakkad,Tea,353.42,Percent,8.51,Percent,-76.07,Percent
1976-77,Palakkad,Turmeric,-35.11,Percent,-35.14,Percent,,Percent
1976-77,Thiruvananthapuram,Arecanut,-10.36,Percent,-31.58,Percent,,Percent
1976-77,Thiruvananthapuram,Banana,13.6,Percent,13.62,Percent,0.01,Percent
1976-77,Thiruvananthapuram,"Betel leaves",7.3,Percent,,Percent,,Percent
1976-77,Thiruvananthapuram,Cashew,5.08,Percent,-55.22,Percent,-57.4,Percent
1976-77,Thiruvananthapuram,Coconut,7.1,Percent,-6.07,Percent,-12.31,Percent
1976-77,Thiruvananthapuram,Coffee,-88.46,Percent,,Percent,769.57,Percent
1976-77,Thiruvananthapuram,Ginger,32.14,Percent,31.82,Percent,-0.25,Percent
1976-77,Thiruvananthapuram,Jack,18.03,Percent,,Percent,,Percent
1976-77,Thiruvananthapuram,Mango,17.61,Percent,,Percent,,Percent
1976-77,Thiruvananthapuram,Paddy,1.41,Percent,-10.2,Percent,,Percent
1976-77,Thiruvananthapuram,Pepper,-3.86,Percent,3.77,Percent,7.98,Percent
1976-77,Thiruvananthapuram,Pineapple,-11.89,Percent,,Percent,,Percent
1976-77,Thiruvananthapuram,Plantain,30.82,Percent,30.83,Percent,,Percent
1976-77,Thiruvananthapuram,Rubber,25.37,Percent,2.87,Percent,-17.87,Percent
1976-77,Thiruvananthapuram,Tapioca,-7.5,Percent,-8.07,Percent,-0.62,Percent
1976-77,Thiruvananthapuram,Tea,2957.14,Percent,-2.66,Percent,-96.82,Percent
1976-77,Thiruvananthapuram,Turmeric,70,Percent,70,Percent,,Percent
1976-77,Thrissur,Arecanut,-14.82,Percent,11.55,Percent,,Percent
1976-77,Thrissur,Banana,-15.1,Percent,-15.09,Percent,0.01,Percent
1976-77,Thrissur,"Betel leaves",-50.77,Percent,,Percent,,Percent
1976-77,Thrissur,Cashew,-10.83,Percent,-65.59,Percent,-61.41,Percent
1976-77,Thrissur,Coconut,-1.32,Percent,14.38,Percent,15.9,Percent
1976-77,Thrissur,Coffee,140,Percent,,Percent,-58.4,Percent
1976-77,Thrissur,Ginger,-60.42,Percent,-61.62,Percent,-3.01,Percent
1976-77,Thrissur,Jack,-15.91,Percent,,Percent,,Percent
1976-77,Thrissur,Mango,15.99,Percent,,Percent,,Percent
1976-77,Thrissur,Paddy,-6.61,Percent,-8.64,Percent,,Percent
1976-77,Thrissur,Pepper,56.46,Percent,114.29,Percent,36.65,Percent
1976-77,Thrissur,Pineapple,-33.9,Percent,,Percent,,Percent
1976-77,Thrissur,Plantain,-13.56,Percent,-13.56,Percent,,Percent
1976-77,Thrissur,Rubber,14.63,Percent,12.4,Percent,-1.9,Percent
1976-77,Thrissur,Tapioca,-24.25,Percent,-18.59,Percent,7.47,Percent
1976-77,Thrissur,Tea,,Percent,4.82,Percent,,Percent
1976-77,Thrissur,Turmeric,2.27,Percent,,Percent,-2.2,Percent
1977-78,Alappuzha,Arecanut,-7.45,Percent,3.22,Percent,,Percent
1977-78,Alappuzha,Banana,-22.49,Percent,30.34,Percent,68.15,Percent
1977-78,Alappuzha,"Betel leaves",-31.36,Percent,,Percent,,Percent
1977-78,Alappuzha,Cashew,14.51,Percent,-4.1,Percent,-99.45,Percent
1977-78,Alappuzha,Coconut,-7.75,Percent,-15.27,Percent,-8.15,Percent
1977-78,Alappuzha,Coffee,216.67,Percent,600,Percent,120.36,Percent
1977-78,Alappuzha,Ginger,65.78,Percent,65.83,Percent,,Percent
1977-78,Alappuzha,Jack,72.65,Percent,,Percent,,Percent
1977-78,Alappuzha,Mango,-0.53,Percent,,Percent,,Percent
1977-78,Alappuzha,Paddy,2.61,Percent,-1.24,Percent,,Percent
1977-78,Alappuzha,Pepper,0.51,Percent,56.32,Percent,55.38,Percent
1977-78,Alappuzha,Pineapple,,Percent,,Percent,,Percent
1977-78,Alappuzha,Plantain,-4.57,Percent,30.47,Percent,36.72,Percent
1977-78,Alappuzha,Rubber,0.47,Percent,12.93,Percent,12.31,Percent
1977-78,Alappuzha,Tapioca,-18.16,Percent,-19.35,Percent,-1.46,Percent
1977-78,Alappuzha,Turmeric,-26.92,Percent,-26.92,Percent,,Percent
1977-78,Ernakulam,Arecanut,13.86,Percent,27.67,Percent,,Percent
1977-78,Ernakulam,Banana,9.05,Percent,74.92,Percent,60.4,Percent
1977-78,Ernakulam,"Betel leaves",35.78,Percent,,Percent,,Percent
1977-78,Ernakulam,Cashew,44.01,Percent,-26.08,Percent,-48.67,Percent
1977-78,Ernakulam,Coconut,7.06,Percent,9.96,Percent,2.71,Percent
1977-78,Ernakulam,Coffee,-38.57,Percent,18.18,Percent,92.86,Percent
1977-78,Ernakulam,Ginger,43.36,Percent,43.36,Percent,,Percent
1977-78,Ernakulam,Jack,38.92,Percent,,Percent,,Percent
1977-78,Ernakulam,Mango,-4.33,Percent,,Percent,,Percent
1977-78,Ernakulam,Paddy,-0.08,Percent,3.08,Percent,,Percent
1977-78,Ernakulam,Pepper,-4.03,Percent,22.37,Percent,27.55,Percent
1977-78,Ernakulam,Pineapple,12.4,Percent,,Percent,,Percent
1977-78,Ernakulam,Plantain,-88.54,Percent,100.71,Percent,1651.58,Percent
1977-78,Ernakulam,Rubber,1.4,Percent,-2.32,Percent,-3.67,Percent
1977-78,Ernakulam,Tapioca,4.54,Percent,23.22,Percent,17.87,Percent
1977-78,Ernakulam,Tea,,Percent,,Percent,,Percent
1977-78,Ernakulam,Turmeric,94.09,Percent,94,Percent,,Percent
1977-78,Idukki,Arecanut,0.73,Percent,38.05,Percent,,Percent
1977-78,Idukki,Banana,46.23,Percent,134.59,Percent,60.43,Percent
1977-78,Idukki,"Betel leaves",-86.67,Percent,,Percent,,Percent
1977-78,Idukki,Cardamom,0.65,Percent,104.22,Percent,107.41,Percent
1977-78,Idukki,Cashew,7.85,Percent,-9.64,Percent,-96.63,Percent
1977-78,Idukki,Coconut,-2.31,Percent,-20,Percent,-18.1,Percent
1977-78,Idukki,Coffee,28.09,Percent,142.84,Percent,89.45,Percent
1977-78,Idukki,Ginger,,Percent,,Percent,,Percent
1977-78,Idukki,Jack,-7.21,Percent,,Percent,,Percent
1977-78,Idukki,Mango,-10.7,Percent,,Percent,,Percent
1977-78,Idukki,Paddy,-12.2,Percent,-4.1,Percent,,Percent
1977-78,Idukki,Pepper,25.77,Percent,68.31,Percent,33.71,Percent
1977-78,Idukki,Pineapple,,Percent,,Percent,,Percent
1977-78,Idukki,Plantain,23.09,Percent,122.94,Percent,81.13,Percent
1977-78,Idukki,Rubber,0.69,Percent,-3.65,Percent,-4.32,Percent
1977-78,Idukki,Tapioca,-0.27,Percent,1.31,Percent,1.58,Percent
1977-78,Idukki,Tea,-0.17,Percent,9.22,Percent,9.39,Percent
1977-78,Idukki,Turmeric,34.4,Percent,36.51,Percent,1.59,Percent
1977-78,Kannur,Arecanut,10.73,Percent,19.81,Percent,,Percent
1977-78,Kannur,Banana,-1.55,Percent,58.13,Percent,60.62,Percent
1977-78,Kannur,"Betel leaves",5.56,Percent,,Percent,,Percent
1977-78,Kannur,Cardamom,3.16,Percent,108.57,Percent,100,Percent
1977-78,Kannur,Cashew,23.96,Percent,16.63,Percent,-5.91,Percent
1977-78,Kannur,Coconut,1.82,Percent,16.25,Percent,14.18,Percent
1977-78,Kannur,Coffee,91.96,Percent,158.47,Percent,34.51,Percent
1977-78,Kannur,Ginger,-19.7,Percent,-18.04,Percent,2.04,Percent
1977-78,Kannur,Jack,5.57,Percent,,Percent,,Percent
1977-78,Kannur,Mango,1.51,Percent,,Percent,,Percent
1977-78,Kannur,Paddy,-3.6,Percent,-12.18,Percent,,Percent
1977-78,Kannur,Pepper,-23.95,Percent,-52.46,Percent,-37.5,Percent
1977-78,Kannur,Pineapple,-33.11,Percent,,Percent,,Percent
1977-78,Kannur,Plantain,1.16,Percent,65.12,Percent,63.22,Percent
1977-78,Kannur,Rubber,1.83,Percent,15.44,Percent,13.49,Percent
1977-78,Kannur,Tapioca,-6.06,Percent,-16.04,Percent,-10.62,Percent
1977-78,Kannur,Tea,0.74,Percent,37.31,Percent,36.37,Percent
1977-78,Kannur,Turmeric,75.51,Percent,88.4,Percent,7.36,Percent
1977-78,Kollam,Arecanut,-18.47,Percent,-9.83,Percent,,Percent
1977-78,Kollam,Banana,-19.83,Percent,10.3,Percent,37.59,Percent
1977-78,Kollam,"Betel leaves",-40.85,Percent,,Percent,,Percent
1977-78,Kollam,Cardamom,,Percent,100,Percent,100,Percent
1977-78,Kollam,Cashew,5.45,Percent,8.08,Percent,-99.89,Percent
1977-78,Kollam,Coconut,-6.31,Percent,-8.7,Percent,-2.53,Percent
1977-78,Kollam,Coffee,37.18,Percent,150,Percent,82.44,Percent
1977-78,Kollam,Ginger,113.24,Percent,113.24,Percent,,Percent
1977-78,Kollam,Jack,6.85,Percent,,Percent,,Percent
1977-78,Kollam,Mango,-10.1,Percent,,Percent,,Percent
1977-78,Kollam,Paddy,1.46,Percent,7.72,Percent,,Percent
1977-78,Kollam,Pepper,-13.89,Percent,-26.55,Percent,-14.7,Percent
1977-78,Kollam,Pineapple,-8.94,Percent,,Percent,,Percent
1977-78,Kollam,Plantain,-19.5,Percent,14.57,Percent,42.33,Percent
1977-78,Kollam,Rubber,3.76,Percent,-12.61,Percent,-15.83,Percent
1977-78,Kollam,Tapioca,-7.52,Percent,-29.01,Percent,-23.24,Percent
1977-78,Kollam,Tea,-0.69,Percent,0.12,Percent,0.95,Percent
1977-78,Kollam,Turmeric,5.38,Percent,3.67,Percent,-1.62,Percent
1977-78,Kottayam,Arecanut,-21.58,Percent,-17.3,Percent,,Percent
1977-78,Kottayam,Banana,-6.86,Percent,83.01,Percent,96.47,Percent
1977-78,Kottayam,"Betel leaves",-56.25,Percent,,Percent,,Percent
1977-78,Kottayam,Cashew,1.48,Percent,81.95,Percent,-95.79,Percent
1977-78,Kottayam,Coconut,-9.26,Percent,-15.79,Percent,-7.19,Percent
1977-78,Kottayam,Coffee,-4.98,Percent,80.69,Percent,90.4,Percent
1977-78,Kottayam,Ginger,6.83,Percent,17.57,Percent,10.07,Percent
1977-78,Kottayam,Jack,-2.84,Percent,,Percent,,Percent
1977-78,Kottayam,Mango,-19.13,Percent,,Percent,,Percent
1977-78,Kottayam,Paddy,-11.61,Percent,-11.62,Percent,,Percent
1977-78,Kottayam,Pepper,-9.97,Percent,-39.38,Percent,-32.67,Percent
1977-78,Kottayam,Pineapple,-33.1,Percent,,Percent,,Percent
1977-78,Kottayam,Plantain,4.51,Percent,105.07,Percent,96.23,Percent
1977-78,Kottayam,Rubber,0.2,Percent,-1.62,Percent,-90.61,Percent
1977-78,Kottayam,Tapioca,-23.71,Percent,-37.7,Percent,-18.33,Percent
1977-78,Kottayam,Tea,-0.26,Percent,27.11,Percent,27.37,Percent
1977-78,Kottayam,Turmeric,48.34,Percent,52.27,Percent,2.63,Percent
1977-78,Kozhikode,Arecanut,-18.58,Percent,-15.44,Percent,,Percent
1977-78,Kozhikode,Banana,-18.83,Percent,28.44,Percent,58.23,Percent
1977-78,Kozhikode,"Betel leaves",203.03,Percent,,Percent,,Percent
1977-78,Kozhikode,Cardamom,0.18,Percent,103.23,Percent,107.41,Percent
1977-78,Kozhikode,Cashew,-1.35,Percent,41.83,Percent,43.77,Percent
1977-78,Kozhikode,Coconut,-5.19,Percent,-8.87,Percent,-3.87,Percent
1977-78,Kozhikode,Coffee,13.69,Percent,53.09,Percent,34.51,Percent
1977-78,Kozhikode,Ginger,27.6,Percent,27.59,Percent,,Percent
1977-78,Kozhikode,Jack,-8.97,Percent,,Percent,,Percent
1977-78,Kozhikode,Mango,-2.71,Percent,,Percent,,Percent
1977-78,Kozhikode,Paddy,-4.54,Percent,6.92,Percent,,Percent
1977-78,Kozhikode,Pepper,9.58,Percent,9.26,Percent,-0.3,Percent
1977-78,Kozhikode,Pineapple,-21.74,Percent,,Percent,,Percent
1977-78,Kozhikode,Plantain,-4.53,Percent,47.32,Percent,54.31,Percent
1977-78,Kozhikode,Rubber,0.36,Percent,1.35,Percent,-1.83,Percent
1977-78,Kozhikode,Tapioca,37.71,Percent,75.55,Percent,27.48,Percent
1977-78,Kozhikode,Tea,,Percent,491.76,Percent,492.63,Percent
1977-78,Kozhikode,Turmeric,45.72,Percent,45.87,Percent,0.1,Percent
1977-78,Malappuram,Arecanut,-15.08,Percent,-29.39,Percent,,Percent
1977-78,Malappuram,Banana,11.62,Percent,95.76,Percent,75.38,Percent
1977-78,Malappuram,"Betel leaves",4.71,Percent,,Percent,,Percent
1977-78,Malappuram,Cardamom,1.1,Percent,100,Percent,100,Percent
1977-78,Malappuram,Cashew,-6.07,Percent,-60.43,Percent,-57.87,Percent
1977-78,Malappuram,Coconut,-2.61,Percent,-22.9,Percent,-20.82,Percent
1977-78,Malappuram,Ginger,1.44,Percent,1.41,Percent,-0.08,Percent
1977-78,Malappuram,Jack,25.37,Percent,,Percent,,Percent
1977-78,Malappuram,Mango,1.85,Percent,,Percent,,Percent
1977-78,Malappuram,Paddy,-3.47,Percent,4.1,Percent,,Percent
1977-78,Malappuram,Pepper,-25.06,Percent,-42.7,Percent,-23.56,Percent
1977-78,Malappuram,Pineapple,-23.19,Percent,,Percent,,Percent
1977-78,Malappuram,Plantain,-3.57,Percent,32.49,Percent,37.4,Percent
1977-78,Malappuram,Rubber,0.14,Percent,2.69,Percent,2.46,Percent
1977-78,Malappuram,Tapioca,-6.3,Percent,-5.51,Percent,908.48,Percent
1977-78,Malappuram,Tea,,Percent,-4.51,Percent,-4.45,Percent
1977-78,Malappuram,Turmeric,144.9,Percent,146.15,Percent,0.5,Percent
1977-78,Palakkad,Arecanut,-3.2,Percent,-15.92,Percent,,Percent
1977-78,Palakkad,Banana,0.68,Percent,90.22,Percent,88.94,Percent
1977-78,Palakkad,"Betel leaves",-72.73,Percent,,Percent,,Percent
1977-78,Palakkad,Cardamom,,Percent,103.16,Percent,107.41,Percent
1977-78,Palakkad,Cashew,14.67,Percent,-18.98,Percent,-29.34,Percent
1977-78,Palakkad,Coconut,3.34,Percent,-7.46,Percent,-10.45,Percent
1977-78,Palakkad,Coffee,-16.39,Percent,75.13,Percent,109.48,Percent
1977-78,Palakkad,Ginger,130.48,Percent,130.47,Percent,,Percent
1977-78,Palakkad,Jack,95.42,Percent,,Percent,,Percent
1977-78,Palakkad,Mango,-26.34,Percent,,Percent,,Percent
1977-78,Palakkad,Paddy,0.52,Percent,19.83,Percent,,Percent
1977-78,Palakkad,Pepper,-12.87,Percent,-46.62,Percent,-38.65,Percent
1977-78,Palakkad,Pineapple,0.38,Percent,,Percent,,Percent
1977-78,Palakkad,Plantain,-15.79,Percent,40.59,Percent,66.95,Percent
1977-78,Palakkad,Rubber,1.73,Percent,10.78,Percent,9.07,Percent
1977-78,Palakkad,Tapioca,57.82,Percent,40.13,Percent,-11.21,Percent
1977-78,Palakkad,Tea,,Percent,8.94,Percent,8.93,Percent
1977-78,Palakkad,Turmeric,-0.82,Percent,2.79,Percent,3.54,Percent
1977-78,Thiruvananthapuram,Arecanut,-21.75,Percent,-19.75,Percent,,Percent
1977-78,Thiruvananthapuram,Banana,-32.11,Percent,12.72,Percent,66.04,Percent
1977-78,Thiruvananthapuram,"Betel leaves",-23.04,Percent,,Percent,,Percent
1977-78,Thiruvananthapuram,Cardamom,,Percent,125,Percent,129.17,Percent
1977-78,Thiruvananthapuram,Cashew,-2.95,Percent,47.59,Percent,-99.37,Percent
1977-78,Thiruvananthapuram,Coconut,-4.45,Percent,-20.4,Percent,-16.7,Percent
1977-78,Thiruvananthapuram,Coffee,220,Percent,500,Percent,87.5,Percent
1977-78,Thiruvananthapuram,Ginger,162.16,Percent,162.07,Percent,,Percent
1977-78,Thiruvananthapuram,Jack,20.38,Percent,,Percent,,Percent
1977-78,Thiruvananthapuram,Mango,-11.25,Percent,,Percent,,Percent
1977-78,Thiruvananthapuram,Paddy,-9.08,Percent,-11.82,Percent,,Percent
1977-78,Thiruvananthapuram,Pepper,1.24,Percent,-1.85,Percent,-3.04,Percent
1977-78,Thiruvananthapuram,Pineapple,-39.56,Percent,,Percent,,Percent
1977-78,Thiruvananthapuram,Plantain,-2.29,Percent,55.42,Percent,59.06,Percent
1977-78,Thiruvananthapuram,Rubber,1.57,Percent,-4.22,Percent,-5.74,Percent
1977-78,Thiruvananthapuram,Tapioca,-23.96,Percent,-24.76,Percent,-1.06,Percent
1977-78,Thiruvananthapuram,Tea,,Percent,39.18,Percent,39.28,Percent
1977-78,Thiruvananthapuram,Turmeric,-35.29,Percent,-35.29,Percent,,Percent
1977-78,Thrissur,Arecanut,-20.42,Percent,-16.41,Percent,,Percent
1977-78,Thrissur,Banana,-7.06,Percent,102.04,Percent,117.4,Percent
1977-78,Thrissur,"Betel leaves",-14.06,Percent,,Percent,,Percent
1977-78,Thrissur,Cardamom,,Percent,,Percent,,Percent
1977-78,Thrissur,Cashew,7.66,Percent,46.98,Percent,36.49,Percent
1977-78,Thrissur,Coconut,-0.78,Percent,-9.06,Percent,-8.35,Percent
1977-78,Thrissur,Coffee,37.5,Percent,140,Percent,75,Percent
1977-78,Thrissur,Ginger,307.89,Percent,307.89,Percent,,Percent
1977-78,Thrissur,Jack,130.6,Percent,,Percent,,Percent
1977-78,Thrissur,Mango,3.53,Percent,,Percent,,Percent
1977-78,Thrissur,Paddy,1.44,Percent,-2.71,Percent,,Percent
1977-78,Thrissur,Pepper,30.6,Percent,28.76,Percent,-1.36,Percent
1977-78,Thrissur,Pineapple,-50.26,Percent,,Percent,,Percent
1977-78,Thrissur,Plantain,,Percent,37.83,Percent,37.82,Percent
1977-78,Thrissur,Rubber,0.26,Percent,-21.7,Percent,-21.98,Percent
1977-78,Thrissur,Tapioca,-17.51,Percent,3.87,Percent,25.91,Percent
1977-78,Thrissur,Tea,,Percent,6.35,Percent,6.38,Percent
1977-78,Thrissur,Turmeric,135.56,Percent,136.11,Percent,0.25,Percent
1978-79,Alappuzha,Arecanut,4.42,Percent,18.07,Percent,,Percent
1978-79,Alappuzha,Banana,33.07,Percent,33.04,Percent,-0.02,Percent
1978-79,Alappuzha,"Betel leaves",17.28,Percent,18.07,Percent,0.66,Percent
1978-79,Alappuzha,Cashew,1.83,Percent,15.45,Percent,17200,Percent
1978-79,Alappuzha,Cloves,-25,Percent,,Percent,,Percent
1978-79,Alappuzha,Cocoa,70.43,Percent,,Percent,,Percent
1978-79,Alappuzha,Coconut,4.14,Percent,23.32,Percent,18.41,Percent
1978-79,Alappuzha,Coffee,,Percent,,Percent,,Percent
1978-79,Alappuzha,Ginger,-15.81,Percent,-12.5,Percent,3.96,Percent
1978-79,Alappuzha,Jack,-3.54,Percent,-5.56,Percent,-2.09,Percent
1978-79,Alappuzha,Mango,5.2,Percent,,Percent,,Percent
1978-79,Alappuzha,Nutmeg,-23.19,Percent,,Percent,,Percent
1978-79,Alappuzha,Paddy,-16.95,Percent,-15.28,Percent,,Percent
1978-79,Alappuzha,Pappaya,-1.1,Percent,,Percent,,Percent
1978-79,Alappuzha,Pepper,-9.23,Percent,1.95,Percent,12.38,Percent
1978-79,Alappuzha,Pineapple,-24.34,Percent,,Percent,,Percent
1978-79,Alappuzha,Plantain,15.12,Percent,15.1,Percent,-0.02,Percent
1978-79,Alappuzha,Rubber,0.26,Percent,-37.93,Percent,-38.14,Percent
1978-79,Alappuzha,Tapioca,-12.02,Percent,-10.13,Percent,2.15,Percent
1978-79,Alappuzha,Turmeric,94.74,Percent,278.95,Percent,94.6,Percent
1978-79,Ernakulam,Arecanut,-7.54,Percent,-20.65,Percent,,Percent
1978-79,Ernakulam,Banana,46.29,Percent,47.7,Percent,0.97,Percent
1978-79,Ernakulam,"Betel leaves",-35.81,Percent,-20.65,Percent,23.63,Percent
1978-79,Ernakulam,Cashew,-10.25,Percent,5.95,Percent,18.04,Percent
1978-79,Ernakulam,Cloves,-4.95,Percent,,Percent,,Percent
1978-79,Ernakulam,Cocoa,35.14,Percent,,Percent,,Percent
1978-79,Ernakulam,Coconut,6.98,Percent,19.2,Percent,11.44,Percent
1978-79,Ernakulam,Coffee,1.16,Percent,1.54,Percent,0.26,Percent
1978-79,Ernakulam,Ginger,4.57,Percent,13.16,Percent,8.21,Percent
1978-79,Ernakulam,Jack,-10.7,Percent,-8,Percent,3.02,Percent
1978-79,Ernakulam,Mango,1.34,Percent,,Percent,,Percent
1978-79,Ernakulam,Nutmeg,3.73,Percent,,Percent,,Percent
1978-79,Ernakulam,Paddy,0.93,Percent,6.35,Percent,,Percent
1978-79,Ernakulam,Pappaya,-5.95,Percent,,Percent,,Percent
1978-79,Ernakulam,Pepper,4.81,Percent,-26.2,Percent,-29.6,Percent
1978-79,Ernakulam,Pineapple,-36.45,Percent,,Percent,,Percent
1978-79,Ernakulam,Plantain,6.65,Percent,7.73,Percent,1.01,Percent
1978-79,Ernakulam,Rubber,2.24,Percent,-13.02,Percent,-14.92,Percent
1978-79,Ernakulam,Tapioca,-6.47,Percent,-13.51,Percent,-7.52,Percent
1978-79,Ernakulam,Tea,,Percent,,Percent,,Percent
1978-79,Ernakulam,Turmeric,1.14,Percent,90.33,Percent,88.12,Percent
1978-79,Idukki,Arecanut,24.98,Percent,74.36,Percent,,Percent
1978-79,Idukki,Banana,13.55,Percent,11.54,Percent,-1.77,Percent
1978-79,Idukki,"Betel leaves",250,Percent,74.36,Percent,-50.18,Percent
1978-79,Idukki,Cardamom,6.1,Percent,,Percent,764.29,Percent
1978-79,Idukki,Cashew,18.13,Percent,-45.61,Percent,1044.44,Percent
1978-79,Idukki,Cloves,-35.71,Percent,,Percent,,Percent
1978-79,Idukki,Cocoa,32.24,Percent,,Percent,,Percent
1978-79,Idukki,Coconut,1.89,Percent,-15,Percent,-16.57,Percent
1978-79,Idukki,Coffee,0.99,Percent,0.99,Percent,,Percent
1978-79,Idukki,Ginger,-5.23,Percent,-0.82,Percent,4.69,Percent
1978-79,Idukki,Jack,53.89,Percent,75,Percent,13.74,Percent
1978-79,Idukki,Mango,64.13,Percent,,Percent,,Percent
1978-79,Idukki,Nutmeg,-34.09,Percent,,Percent,,Percent
1978-79,Idukki,Paddy,-36.02,Percent,-30.81,Percent,,Percent
1978-79,Idukki,Pappaya,186.23,Percent,,Percent,,Percent
1978-79,Idukki,Pepper,16.19,Percent,34.74,Percent,15.97,Percent
1978-79,Idukki,Pineapple,-10.53,Percent,,Percent,,Percent
1978-79,Idukki,Plantain,25.31,Percent,22.78,Percent,-2.03,Percent
1978-79,Idukki,Rubber,0.52,Percent,-2.93,Percent,-3.31,Percent
1978-79,Idukki,Tapioca,-2.64,Percent,-10.73,Percent,-8.31,Percent
1978-79,Idukki,Tea,0.12,Percent,-8.76,Percent,-8.84,Percent
1978-79,Idukki,Turmeric,16.67,Percent,101.74,Percent,72.85,Percent
1978-79,Kannur,Arecanut,4.78,Percent,16.11,Percent,,Percent
1978-79,Kannur,Banana,21.12,Percent,22.33,Percent,1,Percent
1978-79,Kannur,"Betel leaves",5.26,Percent,16.11,Percent,10.31,Percent
1978-79,Kannur,Cardamom,6.13,Percent,,Percent,-5.36,Percent
1978-79,Kannur,Cashew,14.22,Percent,-1.01,Percent,-13.33,Percent
1978-79,Kannur,Cocoa,30.03,Percent,,Percent,,Percent
1978-79,Kannur,Coconut,-9.25,Percent,-16.59,Percent,-8.09,Percent
1978-79,Kannur,Coffee,1,Percent,1,Percent,,Percent
1978-79,Kannur,Ginger,7.01,Percent,30.78,Percent,22.24,Percent
1978-79,Kannur,Jack,1.69,Percent,,Percent,-1.66,Percent
1978-79,Kannur,Mango,-3.88,Percent,,Percent,,Percent
1978-79,Kannur,Nutmeg,2988.24,Percent,,Percent,,Percent
1978-79,Kannur,Paddy,-7.26,Percent,-8.93,Percent,,Percent
1978-79,Kannur,Pappaya,-20.55,Percent,,Percent,,Percent
1978-79,Kannur,Pepper,7.38,Percent,151,Percent,133.79,Percent
1978-79,Kannur,Pineapple,1.35,Percent,,Percent,,Percent
1978-79,Kannur,Plantain,-16.01,Percent,-16.04,Percent,-0.03,Percent
1978-79,Kannur,Rubber,1.21,Percent,-31.4,Percent,-32.25,Percent
1978-79,Kannur,Tapioca,10,Percent,7.09,Percent,-2.65,Percent
1978-79,Kannur,Tea,-3.01,Percent,-12.76,Percent,-10.07,Percent
1978-79,Kannur,Turmeric,10.23,Percent,78.62,Percent,61.99,Percent
1978-79,Kollam,Arecanut,-2.13,Percent,7.51,Percent,,Percent
1978-79,Kollam,Banana,-2.25,Percent,-2.3,Percent,-0.05,Percent
1978-79,Kollam,"Betel leaves",-21.19,Percent,7.51,Percent,36.43,Percent
1978-79,Kollam,Cardamom,7.38,Percent,,Percent,-7.41,Percent
1978-79,Kollam,Cashew,-0.67,Percent,-22.76,Percent,73700,Percent
1978-79,Kollam,Cloves,106.06,Percent,,Percent,,Percent
1978-79,Kollam,Cocoa,413.33,Percent,,Percent,,Percent
1978-79,Kollam,Coconut,-7.06,Percent,-9.52,Percent,-2.65,Percent
1978-79,Kollam,Coffee,1.87,Percent,2.5,Percent,0.53,Percent
1978-79,Kollam,Ginger,10.12,Percent,14.41,Percent,3.88,Percent
1978-79,Kollam,Jack,-0.57,Percent,,Percent,0.57,Percent
1978-79,Kollam,Mango,-10.4,Percent,,Percent,,Percent
1978-79,Kollam,Nutmeg,101.8,Percent,,Percent,,Percent
1978-79,Kollam,Paddy,0.86,Percent,13.51,Percent,,Percent
1978-79,Kollam,Pappaya,-24.21,Percent,,Percent,,Percent
1978-79,Kollam,Pepper,4.76,Percent,16.14,Percent,10.86,Percent
1978-79,Kollam,Pineapple,0.91,Percent,,Percent,,Percent
1978-79,Kollam,Plantain,-7.03,Percent,-7.03,Percent,,Percent
1978-79,Kollam,Rubber,0.5,Percent,5.76,Percent,5.35,Percent
1978-79,Kollam,Tapioca,-14.13,Percent,-1.57,Percent,14.62,Percent
1978-79,Kollam,Tea,,Percent,-5.28,Percent,-5.41,Percent
1978-79,Kollam,Turmeric,8.16,Percent,76.99,Percent,63.66,Percent
1978-79,Kottayam,Arecanut,2.06,Percent,33.05,Percent,,Percent
1978-79,Kottayam,Banana,18.13,Percent,18.16,Percent,0.03,Percent
1978-79,Kottayam,"Betel leaves",-39.8,Percent,33.05,Percent,120.99,Percent
1978-79,Kottayam,Cashew,7.94,Percent,-49.87,Percent,1875,Percent
1978-79,Kottayam,Cloves,-15.87,Percent,,Percent,,Percent
1978-79,Kottayam,Cocoa,236.75,Percent,,Percent,,Percent
1978-79,Kottayam,Coconut,5.18,Percent,-1.04,Percent,-5.93,Percent
1978-79,Kottayam,Coffee,0.97,Percent,0.85,Percent,,Percent
1978-79,Kottayam,Ginger,-2.77,Percent,-16.11,Percent,-13.72,Percent
1978-79,Kottayam,Jack,2.25,Percent,5.88,Percent,3.56,Percent
1978-79,Kottayam,Mango,-16.76,Percent,,Percent,,Percent
